Years,White,Black,Hispanic,Asian,Other
1980,84.09337236887845,10.729471072134682,3.2245533281673913,0.7034004281762261,1.249202802643243
1981,84.4447383778357,10.468401846897523,3.118955682827545,0.7113217830090016,1.2565823094301642
1982,84.1925926948871,10.646096990381913,3.165083940895011,0.7158104749507634,1.28041589888515
1983,84.62768326318543,10.321795721970028,3.0745879711967947,0.7169462502923641,1.2589867933553363
1984,84.14819472470552,10.568008179137582,3.2665159559169368,0.7260837927428196,1.2911973474971234
1985,84.02169434266472,10.574512504547682,3.337487936956487,0.7524086190402395,1.3138965967908656
1986,83.91793293079846,10.68139095546367,3.317455476627449,0.759973409791723,1.3232472273187013
1987,83.2165656296278,10.749827132351838,3.8627333105195563,0.7996677091584179,1.3712062183425573
1988,82.64770664514944,11.163355211121976,3.979560433380657,0.8178435065092953,1.3915342038383585
1989,82.56261493088168,11.148174733814887,4.086828174762397,0.8094544376427112,1.3929277228982344
1990,82.40726333460846,11.424825586027225,3.948879273935872,0.8064061885849559,1.4126256168435314
1991,81.97122718210727,11.627536288956618,4.1532971553433935,0.8176672992094024,1.4302720743834465
1992,81.9866196491997,11.54222091640427,4.186150332351046,0.8364057601610307,1.4486033418838025
1993,81.75987805475422,11.776664468115055,4.16612856540484,0.8375525081357402,1.4597764035901755
1994,81.7178506939652,11.706528440346297,4.285403915886071,0.8306343001771284,1.4595826496253663
1995,81.5351521870448,11.836333769522172,4.309420356727673,0.8402072926267576,1.4788863940784664
1996,82.39055054588059,10.76135068688473,4.478644950362607,0.859656347458754,1.5097974694135006
1997,82.93625269968291,10.592378466140337,4.103939463730971,0.8507974919637784,1.51663187848202
1998,83.11491864113603,10.480809789302214,4.075674311011385,0.8234628892077757,1.5051343693424777
1999,83.43226832691583,10.304906948045984,3.9082413600639567,0.8198415509654715,1.5347418140087026
2000,83.15087320918686,10.360053610732951,4.083126737094477,0.8624550087300096,1.5434914342557078
2001,83.8076998696136,9.534228100910589,4.234396541350647,0.8734335399716405,1.550241948153777
2002,84.18712677862503,9.30166230757438,4.059840250352558,0.8919466685527497,1.5594239948951716
2003,83.99125350898984,9.421180600324371,4.180678036167143,0.8882587393522887,1.5186291151662836
2004,84.58042654893327,8.624526537821572,4.2825871528161565,0.9210041339732834,1.5914556264554478
2005,84.4987362635082,8.780514096271553,4.294437301383805,0.8907122692190907,1.5356000696173968
2006,84.62037597965441,8.525479914532953,4.381811612756806,0.9044684673206717,1.567864025735052
2007,84.5473095828852,8.803524459796867,4.232338647963972,0.873728676103206,1.5430986332507735
2008,84.96643803318726,8.407610941776927,4.223200263150903,0.8878289599240647,1.5149218019608885
2009,84.73138206985696,8.263528845072031,4.525944188188187,0.9428998380076702,1.5362450588749652
2010,84.52224392137884,8.953171503490589,4.147990304670113,0.8950149620905681,1.481579308369902
2011,84.86515718999024,8.072443888613613,4.564966159025281,0.9419103264007439,1.5555224359702637
2012,84.95970400803061,8.473909989599218,4.222349173771759,0.8673072780498787,1.4767295505485498
2013,84.53348694593984,8.330270873218824,4.618419071494862,0.950709600631075,1.567113508715399
2014,83.90177802610052,9.269282163498724,4.462597727044437,0.8932673940272723,1.4730746893290176
2015,84.6984274596244,8.820099192098281,4.127291427282573,0.875017895305356,1.4791640256893568
2016,85.79612416229824,9.245692457408671,2.860589200604495,0.7535226640171575,1.344071515671397
2017,83.55528501434912,9.729642514374602,4.3791008678466445,0.8605145758106728,1.475457027618967
