Year,Name,Number,Rank
1925,REGINALD,11,65
1925,RODERICK,11,65
1925,DANIEL,10,70
1925,FREDRICK,10,70
1925,PHILIP,10,70
1925,CLARENCE,9,73
1925,HIDEO,9,73
1925,JOE,9,73
1925,MASAO,9,73
1925,VERNON,9,73
1925,FRED,8,78
1925,KIYOSHI,8,78
1925,ROSS,8,78
1925,SIDNEY,8,78
1925,WARREN,8,78
1925,WING,8,78
1925,AKIRA,7,84
1925,BENJAMIN,7,84
1925,DENIS,7,84
1925,GEOFFREY,7,84
1925,LAURENCE,7,84
1925,LOUIS,7,84
1925,MALCOLM,7,84
1925,MAURICE,7,84
1925,MIKE,7,84
1925,OWEN,7,84
1925,PERCY,7,84
1925,SHIGEO,7,84
1925,THEODORE,7,84
1925,WALLACE,7,84
1925,ALEX,6,98
1925,COLIN,6,98
1925,HARVEY,6,98
1925,HIROSHI,6,98
1925,KEITH,6,98
1925,MINORU,6,98
1925,NEIL,6,98
1925,SHIGERU,6,98
1925,STEPHEN,6,98
1925,STUART,6,98
1925,ALLEN,5,108
1925,ALVIN,5,108
1925,ARCHIBALD,5,108
1925,DELBERT,5,108
1925,EARNEST,5,108
1925,EDGAR,5,108
1925,ELMER,5,108
1925,EUGENE,5,108
1925,FREDERIC,5,108
1925,FUMIO,5,108
1925,GIOVANNI,5,108
1925,KAORU,5,108
1925,KATSUMI,5,108
1925,KAZUO,5,108
1925,MARTIN,5,108
1925,MILTON,5,108
1925,NOBORU,5,108
1925,ROBIN,5,108
1925,TADAO,5,108
1925,TSUTOMU,5,108
1925,WESLEY,5,108
1926,JOHN,317,1
1926,WILLIAM,304,2
1926,ROBERT,223,3
1926,JAMES,183,4
1926,GEORGE,165,5
1926,DONALD,109,6
1926,GORDON,89,7
1926,KENNETH,84,8
1926,DAVID,77,9
1926,THOMAS,73,10
1926,RICHARD,70,11
1926,CHARLES,68,12
1926,ARTHUR,58,13
1926,EDWARD,58,13
1926,JOSEPH,56,15
1926,DOUGLAS,54,16
1926,FREDERICK,52,17
1926,NORMAN,52,17
1926,JACK,46,19
1926,RAYMOND,46,19
1926,ALBERT,41,21
1926,HENRY,40,22
1926,FRANK,39,23
1926,HARRY,39,23
1926,PETER,39,23
1926,RONALD,39,23
1926,WALTER,38,27
1926,STANLEY,37,28
1926,ALFRED,36,29
1926,GERALD,36,29
1926,HAROLD,36,29
1926,ERNEST,33,32
1926,ROY,33,32
1926,ALEXANDER,32,34
1926,HERBERT,27,35
1926,FRANCIS,23,36
1926,RALPH,23,36
1926,HOWARD,21,38
1926,LAWRENCE,20,39
1926,LEONARD,20,39
1926,LESLIE,20,39
1926,ALLAN,19,42
1926,CLIFFORD,19,42
1926,ALAN,17,44
1926,FREDRICK,17,44
1926,PHILIP,17,44
1926,CLARENCE,16,47
1926,WALLACE,16,47
1926,EARL,15,49
1926,VICTOR,15,49
1926,DANIEL,14,51
1926,EDWIN,14,51
1926,ANDREW,13,53
1926,ERIC,13,53
1926,HIROSHI,13,53
1926,IAN,13,53
1926,PATRICK,13,53
1926,ALLEN,12,58
1926,BERNARD,12,58
1926,FRED,12,58
1926,REGINALD,12,58
1926,BRUCE,11,62
1926,CARL,11,62
1926,HUGH,11,62
1926,LOUIS,11,62
1926,MELVIN,11,62
1926,WILFRED,11,62
1926,LLOYD,10,68
1926,MAURICE,10,68
1926,RODERICK,10,68
1926,SIDNEY,10,68
1926,TSUTOMU,10,68
1926,GILBERT,9,73
1926,LORNE,9,73
1926,MICHAEL,9,73
1926,SYDNEY,9,73
1926,AKIRA,8,77
1926,CECIL,8,77
1926,COLIN,8,77
1926,EUGENE,8,77
1926,GEOFFREY,8,77
1926,KAZUO,8,77
1926,LEWIS,8,77
1926,MALCOLM,8,77
1926,MINORU,8,77
1926,MITSUO,8,77
1926,PAUL,8,77
1926,RUSSELL,8,77
1926,ARNOLD,7,89
1926,DENNIS,7,89
1926,EDGAR,7,89
1926,LEO,7,89
1926,MORRIS,7,89
1926,PHILLIP,7,89
1926,SAMUEL,7,89
1926,VERNON,7,89
1926,YOSHIO,7,89
1926,ALVIN,6,98
1926,HIDEO,6,98
1926,ISAMU,6,98
